timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1569011595667,199,HTTP Request,200,OK,Thread Group 1-2,text,true,,3439,501,3,3,https://api.novaposhta.ua/v2.0/json/,198,0,109
1569011595771,126,HTTP Request,200,OK,Thread Group 1-3,text,true,,3439,501,4,4,https://api.novaposhta.ua/v2.0/json/,126,0,66
1569011595867,165,HTTP Request,200,OK,Thread Group 1-2,text,true,,3439,501,5,5,https://api.novaposhta.ua/v2.0/json/,165,0,88
1569011595870,206,HTTP Request,200,OK,Thread Group 1-4,text,true,,3439,501,6,6,https://api.novaposhta.ua/v2.0/json/,206,0,85
1569011595569,656,HTTP Request,200,OK,Thread Group 1-1,text,true,,3439,501,7,7,https://api.novaposhta.ua/v2.0/json/,656,0,211
1569011596032,207,HTTP Request,200,OK,Thread Group 1-2,text,true,,3439,501,7,7,https://api.novaposhta.ua/v2.0/json/,207,0,76
1569011596071,168,HTTP Request,200,OK,Thread Group 1-6,text,true,,3439,501,7,7,https://api.novaposhta.ua/v2.0/json/,168,0,65
1569011595971,335,HTTP Request,200,OK,Thread Group 1-5,text,true,,3439,501,8,8,https://api.novaposhta.ua/v2.0/json/,335,0,70
1569011595898,417,HTTP Request,200,OK,Thread Group 1-3,text,true,,3439,501,8,8,https://api.novaposhta.ua/v2.0/json/,417,0,84
1569011596172,153,HTTP Request,200,OK,Thread Group 1-7,text,true,,3439,501,8,8,https://api.novaposhta.ua/v2.0/json/,153,0,62
1569011596226,141,HTTP Request,200,OK,Thread Group 1-1,text,true,,3439,501,8,8,https://api.novaposhta.ua/v2.0/json/,141,0,60
1569011596077,342,HTTP Request,200,OK,Thread Group 1-4,text,true,,3439,501,9,9,https://api.novaposhta.ua/v2.0/json/,342,0,66
1569011596239,183,HTTP Request,200,OK,Thread Group 1-6,text,true,,3439,501,9,9,https://api.novaposhta.ua/v2.0/json/,183,0,61
1569011596271,164,HTTP Request,200,OK,Thread Group 1-8,text,true,,3439,501,9,9,https://api.novaposhta.ua/v2.0/json/,164,0,70
1569011596240,221,HTTP Request,200,OK,Thread Group 1-2,text,true,,3439,501,9,9,https://api.novaposhta.ua/v2.0/json/,221,0,68
1569011596307,168,HTTP Request,200,OK,Thread Group 1-5,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,168,0,71
1569011596316,214,HTTP Request,200,OK,Thread Group 1-3,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,214,0,68
1569011596372,163,HTTP Request,200,OK,Thread Group 1-9,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,163,0,69
1569011596368,192,HTTP Request,200,OK,Thread Group 1-1,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,192,0,68
1569011596326,244,HTTP Request,200,OK,Thread Group 1-7,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,244,0,69
1569011596423,172,HTTP Request,200,OK,Thread Group 1-6,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,172,0,79
1569011596421,187,HTTP Request,200,OK,Thread Group 1-4,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,187,0,82
1569011596436,175,HTTP Request,200,OK,Thread Group 1-8,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,175,0,72
1569011596462,156,HTTP Request,200,OK,Thread Group 1-2,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,156,0,68
